Year,Number of markers
2007,6
2012,1
2009,1
2012,2
2014,5
2009,3
2013,3
2015,1
2015,9
2007,8
2015,2
2007,1
2008,5
2008,1
2009,1
2010,1
2011,1
2011,1
2013,9
2012,1
2015,8
2015,3
2016,3
2017,1
2011,1
2010,15
2010,12
2000,2
2008,1
2011,2
2011,1
2012,2
2012,1
2013,1
2014,1
1994,1
1996,3
1994,2
2012,4
2014,1
2015,2
2009,2
2014,2
2011,1
2012,2
2002,2
2004,1
2012,6
2007,2
2012,3
2011,3
2015,4
2017,1
2012,1
2013,7
2014,3
2004,1
2015,1
2017,1
2008,1
2011,8
2008,1
2016,1
2013,1
2012,3
2005,1
2014,1
2014,1
2011,1
2016,5
2015,1
2004,1
2015,1
2010,2
2016,1
2007,3
2013,1
2014,2
2013,5
2004,1
2016,1
2015,1
2016,1
2003,1
2004,1
1999,1
2016,1
2016,1
2016,1
2016,2
2015,2
2015,1
2016,4
2017,2
2007,5
2015,1
2009,2
2010,3
2016,4
2004,6
2009,4
2010,2
2012,2
2014,1
2014,4
2015,2
2015,1
2017,1
2008,1
1998,2
1999,1
2007,2
2009,4
2007,2
2013,4
1998,2
2006,3
2003,1
2015,1
2009,2
2013,1
2008,2
2009,5
2009,1
2009,1
2010,7
2011,6
2005,1
2006,1
2012,1
2012,3
2009,3
2015,1
2008,1
2010,2
2011,2
2011,5
2011,5
2011,5
2013,1
2014,3
2008,1
2013,1
2015,2
2016,1
2014,2
2005,2
2010,2
2010,2
2011,1
2011,2
2015,3
2005,3
2016,2
2015,3
2007,2
2013,2
2014,9
2014,2
1997,1
1998,1
2003,3
2004,1
2010,1
2016,6
2016,4
2013,3
2005,1
2009,1
2014,1
2014,2
2016,1
2007,1
2013,9
2015,4
2017,3
2008,4
2012,4
2010,2
2015,2
2005,1
2006,2
2005,2
2005,2
2008,1
2014,1
2016,1
2016,1
2016,4
2006,1
2014,1
2016,2
2008,1
2009,1
2015,1
2010,2
2014,1
2008,2
2010,3
2011,1
2005,1
2011,5
2011,1
2014,5
2013,1
2013,4
2014,2
2011,2
2009,2
2010,3
2004,1
2012,2
2008,1
2016,1
2016,2
2016,7
2014,3
2015,1
2013,2
2002,1
2015,1
2009,4
2004,1
2015,1
2002,1
2003,2
2007,1
2006,2
2014,9
2010,6
2012,1
2005,1
2007,4
2015,1
2007,1
2016,1
2017,4
2013,1
2015,2
2003,3
2005,1
2017,2
2014,1
2014,2
2016,2
2008,1
2009,4
2014,2
2003,3
2006,1
2012,7
2012,4
2013,4
2013,6
2015,9
2011,2
2014,2
2004,2
2011,1
2016,1
2005,1
2015,4
2006,2
2003,1
2017,1
2008,1
2012,1
2015,1
2014,1
2004,1
2005,1
2005,1
2007,1
2011,2
2010,5
2011,2
2011,2
2013,1
2009,1
2016,4
2007,2
2014,7
2008,1
2010,1
2012,3
2013,2
2016,1
2005,1
2016,1
2016,1
2002,1
2014,1
2016,2
