tag,proportion unique 32mers,proportion segregating sites,Watterson estimator,nucleotide diversity,Tamura-Nei min,Tamura-Nei median,Tamura-Nei max
R001_membrane_protein,0.97,0.71,0.2,0.26,0.09,0.41,0.81
R002_nuclease,0.97,0.65,0.18,0.22,0.05,0.42,0.72
R003_salicylate_hydroxylase,0.97,0.66,0.18,0.22,0.08,0.27,0.65
R004_tolR,0.97,0.59,0.16,0.22,0.07,0.28,0.53
R005_murA,0.96,0.54,0.15,0.22,0.04,0.31,0.46
R006_secG,0.96,0.7,0.19,0.25,0.05,0.36,0.64
R007_hemS,0.96,0.65,0.18,0.21,0.06,0.26,0.61
R008_yajC,0.96,0.63,0.17,0.2,0.06,0.29,0.49
R009_ATP_synthase_F1_E,0.96,0.7,0.19,0.24,0.03,0.34,0.74
R010_tetratricopeptide_repeat_protein,0.96,0.68,0.19,0.24,0.05,0.41,0.61
R011_ribC,0.92,0.62,0.17,0.2,0.03,0.24,0.5
R012_gyrB,0.9,0.46,0.13,0.16,0.04,0.18,0.32
R013_nuoG,0.87,0.49,0.13,0.15,0.03,0.18,0.39
R014_gltA,0.87,0.46,0.13,0.15,0.02,0.17,0.33
R015_ftsZ,0.84,0.49,0.13,0.16,0.03,0.22,0.41
R016_rpoB,0.83,0.38,0.11,0.12,0.03,0.14,0.24
R017_ITS,0.8,0.49,0.14,0.08,0.05,0.36,0.6
R018_clpP,0.79,0.38,0.1,0.11,0.02,0.14,0.25
R019_nuoK,0.79,0.41,0.11,0.13,0.03,0.15,0.29
R020_rplE,0.79,0.43,0.12,0.12,0.01,0.13,0.34
R021_groEL,0.78,0.36,0.1,0.12,0.01,0.13,0.24
R022_recA,0.78,0.38,0.1,0.12,0.01,0.15,0.27
R023_DNA-binding_response_regulator,0.77,0.42,0.11,0.12,0.03,0.14,0.32
R024_transcriptional_regulator,0.77,0.49,0.13,0.14,0.01,0.17,0.43
R025_TIGR02300_protein,0.76,0.47,0.13,0.14,0,0.18,0.4
R026_rplJ,0.76,0.42,0.11,0.1,0.02,0.16,0.29
R027_groES,0.74,0.38,0.11,0.11,0.02,0.12,0.31
R028_16S_rRNA,0.15,0.06,0.02,0.01,0,0.02,0.03
